name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 0.125 SCH 10,,0.125,0.277040304,10.3,1.24,10,CHS,ASME B36.10M
CHS 0.125 SCH 30,,0.125,0.31644945,10.3,1.45,30,CHS,ASME B36.10M
CHS 0.125 SCH 40,CHS 0.125 SCH STD,0.125,0.365611626,10.3,1.73,40(STD),CHS,ASME B36.10M
CHS 0.125 SCH 80,CHS 0.125 SCH XS,0.125,0.468907434,10.3,2.41,80/XS,CHS,ASME B36.10M
CHS 0.125 SCH 160,,0.125,0.55540485,10.3,3.15,160,CHS,ASME B36.10M
CHS 0.125 SCH XXS,,0.125,0.651519666,10.3,4.83,XXS,CHS,ASME B36.10M
CHS 0.25 SCH 10,,0.25,0.49030245,13.7,1.65,10,CHS,ASME B36.10M
CHS 0.25 SCH 30,,0.25,0.54060885,13.7,1.85,30,CHS,ASME B36.10M
CHS 0.25 SCH 40,CHS 0.25 SCH STD,0.25,0.633032064,13.7,2.24,40(STD),CHS,ASME B36.10M
CHS 0.25 SCH 80,CHS 0.25 SCH XS,0.25,0.795373776,13.7,3.02,80/XS,CHS,ASME B36.10M
CHS 0.25 SCH 160,,0.25,0.909302976,13.7,3.68,160,CHS,ASME B36.10M
CHS 0.25 SCH XXS,,0.25,1.14132645,13.7,6.05,XXS,CHS,ASME B36.10M
CHS 0.375 SCH 10,,0.375,0.62864505,17.1,1.65,10,CHS,ASME B36.10M
CHS 0.375 SCH 30,,0.375,0.69572025,17.1,1.85,30,CHS,ASME B36.10M
CHS 0.375 SCH 40,CHS 0.375 SCH STD,0.375,0.842506434,17.1,2.31,40(STD),CHS,ASME B36.10M
CHS 0.375 SCH 80,CHS 0.375 SCH XS,0.375,1.0968768,17.1,3.2,80/XS,CHS,ASME B36.10M
CHS 0.375 SCH 160,,0.375,1.294425594,17.1,4.01,160,CHS,ASME B36.10M
CHS 0.375 SCH XXS,,0.375,1.6887168,17.1,6.4,XXS,CHS,ASME B36.10M
CHS 0.5 SCH 5,,0.5,0.80116641,21.34,1.65,5,CHS,ASME B36.10M
CHS 0.5 SCH 10,,0.5,1.000586898,21.34,2.11,10,CHS,ASME B36.10M
CHS 0.5 SCH 30,,0.5,1.125021258,21.34,2.41,30,CHS,ASME B36.10M
CHS 0.5 SCH 40,CHS 0.5 SCH STD,0.5,1.268483274,21.34,2.77,40(STD),CHS,ASME B36.10M
CHS 0.5 SCH 80,CHS 0.5 SCH XS,0.5,1.619799498,21.34,3.73,80(XS),CHS,ASME B36.10M
CHS 0.5 SCH 160,,0.5,1.952006688,21.34,4.78,160,CHS,ASME B36.10M
CHS 0.5 SCH XXS,,0.5,2.554995474,21.34,7.47,XXS,CHS,ASME B36.10M
CHS 0.75 SCH 5,,0.75,1.01803878,26.67,1.65,5,CHS,ASME B36.10M
CHS 0.75 SCH 10,,0.75,1.277920656,26.67,2.11,10,CHS,ASME B36.10M
CHS 0.75 SCH 30,,0.75,1.441786356,26.67,2.41,30,CHS,ASME B36.10M
CHS 0.75 SCH 40,CHS 0.75 SCH STD,0.75,1.68442596,26.67,2.87,40(STD),CHS,ASME B36.10M
CHS 0.75 SCH 80,CHS 0.75 SCH XS,0.75,2.194532856,26.67,3.91,80(XS),CHS,ASME B36.10M
CHS 0.75 SCH 160,,0.75,2.894383656,26.67,5.56,160,CHS,ASME B36.10M
CHS 0.75 SCH XXS,,0.75,3.63505662,26.67,7.82,XXS,CHS,ASME B36.10M
CHS 1 SCH 5,,1,1.29187575,33.4,1.65,5,CHS,ASME B36.10M
CHS 1 SCH 10,,1,2.092280166,33.4,2.77,10,CHS,ASME B36.10M
CHS 1 SCH 30,,1,2.181177,33.4,2.9,30,CHS,ASME B36.10M
CHS 1 SCH 40,CHS 1 SCH STD,1,2.502191016,33.4,3.38,40(STD),CHS,ASME B36.10M
CHS 1 SCH 80,CHS 1 SCH XS,1,3.23705655,33.4,4.55,80(XS),CHS,ASME B36.10M
CHS 1 SCH 160,,1,4.23578655,33.4,6.35,160,CHS,ASME B36.10M
CHS 1 SCH XXS,,1,5.449315014,33.4,9.09,XXS,CHS,ASME B36.10M
CHS 1.25 SCH 5,,1.25,1.64831139,42.16,1.65,5,CHS,ASME B36.10M
CHS 1.25 SCH 10,,1.25,2.690659998,42.16,2.77,10,CHS,ASME B36.10M
CHS 1.25 SCH 30,,1.25,2.870283438,42.16,2.97,30,CHS,ASME B36.10M
CHS 1.25 SCH 40,CHS 1.25 SCH STD,1.25,3.38867856,42.16,3.56,40(STD),CHS,ASME B36.10M
CHS 1.25 SCH 80,CHS 1.25 SCH XS,1.25,4.46231331,42.16,4.85,80(XS),CHS,ASME B36.10M
CHS 1.25 SCH 160,,1.25,5.60752371,42.16,6.35,160,CHS,ASME B36.10M
CHS 1.25 SCH XXS,,1.25,7.76449692,42.16,9.7,XXS,CHS,ASME B36.10M
CHS 1.5 SCH 5,,1.5,1.89651429,48.26,1.65,5,CHS,ASME B36.10M
