name,alt,kgm,h,b,tw,tf,r,profileCode,code,localIndex
IPE 80 AA,IPE AA 80,4.9,78,46,3.2,4.2,5,IPE,EN10365,0
IPE 80 A,IPE A 80,5,78,46,3.3,4.2,5,IPE,EN10365,1
IPE 80,,6,80,46,3.8,5.2,5,IPE,EN10365,2
IPE 100 AA,IPE AA 100,6.7,97.6,55,3.6,4.5,7,IPE,EN10365,3
IPE 100 A,IPE A 100,6.9,98,55,3.6,4.7,7,IPE,EN10365,4
IPE 100,,8.1,100,55,4.1,5.7,7,IPE,EN10365,5
IPE 120 AA,IPE AA 120,8.4,117,64,3.8,4.8,7,IPE,EN10365,6
IPE 120 A,IPE A 120,8.7,117.6,64,3.8,5.1,7,IPE,EN10365,7
IPE 120,,10.4,120,64,4.4,6.3,7,IPE,EN10365,8
IPE 140 AA,IPE AA 140,10.1,136.6,73,3.8,5.2,7,IPE,EN10365,9
IPE 140 A,IPE A 140,10.5,137.4,73,3.8,5.6,7,IPE,EN10365,10
IPE 140,,12.9,140,73,4.7,6.9,7,IPE,EN10365,11
IPE 160 AA,IPE AA 160,12.3,156.4,82,4,5.6,7,IPE,EN10365,12
IPE 160 A,IPE A 160,12.7,157,82,4,5.9,9,IPE,EN10365,13
IPE 160,,15.8,160,82,5,7.4,9,IPE,EN10365,14
IPE 180 AA,IPE AA 180,14.9,176.4,91,4.3,6.2,9,IPE,EN10365,15
IPE 180 A,IPE A 180,15.4,177,91,4.3,6.5,9,IPE,EN10365,16
IPE 180,,18.8,180,91,5.3,8,9,IPE,EN10365,17
IPE 180 O,IPE O 180,21.3,182,92,6,9,9,IPE,EN10365,18
IPE 200 AA,IPE AA 200,18,196.4,100,4.5,6.7,12,IPE,EN10365,19
IPE 200 A,IPE A 200,18.4,197,100,4.5,7,12,IPE,EN10365,20
IPE 200,,22.4,200,100,5.6,8.5,12,IPE,EN10365,21
IPE 200 O,IPE O 200,25.1,202,102,6.2,9.5,12,IPE,EN10365,22
IPE 220 AA,IPE AA 220,21.2,216.4,110,4.7,7.4,12,IPE,EN10365,23
IPE 220 A,IPE A 220,22.2,217,110,5,7.7,12,IPE,EN10365,24
IPE 220,,26.2,220,110,5.9,9.2,12,IPE,EN10365,25
IPE 220 O,IPE O 220,29.4,222,112,6.6,10.2,12,IPE,EN10365,26
IPE 240 AA,IPE AA 240,24.9,236.4,120,4.8,8,15,IPE,EN10365,27
IPE 240 A,IPE A 240,26.2,237,120,5.2,8.3,15,IPE,EN10365,28
IPE 240,,30.7,240,120,6.2,9.8,15,IPE,EN10365,29
IPE 240 O,IPE O 240,34.3,242,122,7,10.8,15,IPE,EN10365,30
IPE 270 A,IPE A 270,30.7,267,135,5.5,8.7,15,IPE,EN10365,31
IPE 270,,36.1,270,135,6.6,10.2,15,IPE,EN10365,32
IPE 270 O,IPE O 270,42.3,274,136,7.5,12.2,15,IPE,EN10365,33
IPE 300 A,IPE A 300,36.5,297,150,6.1,9.2,15,IPE,EN10365,34
IPE 300,,42.2,300,150,7.1,10.7,15,IPE,EN10365,35
IPE 300 O,IPE O 300,49.3,304,152,8,12.7,15,IPE,EN10365,36
IPE 330 A,IPE A 330,43,327,160,6.5,10,18,IPE,EN10365,37
IPE 330,,49.1,330,160,7.5,11.5,18,IPE,EN10365,38
IPE 330 O,IPE O 330,57,334,162,8.5,13.5,18,IPE,EN10365,39
IPE 360 A,IPE A 360,50.2,357.6,170,6.6,11.5,18,IPE,EN10365,40
IPE 360,,57.1,360,170,8,12.7,18,IPE,EN10365,41
IPE 360 O,IPE O 360,66,364,172,9.2,14.7,18,IPE,EN10365,42
IPE 400 A,IPE A 400,57.4,397,180,7,12,21,IPE,EN10365,43
IPE 400,,66.3,400,180,8.6,13.5,21,IPE,EN10365,44
IPE 400 O,IPE O 400,75.7,404,182,9.7,15.5,21,IPE,EN10365,45
IPE 400 V,IPE V 400,84,408,182,10.6,17.5,21,IPE,EN10365,46
IPE 450 A,IPE A 450,67.2,447,190,7.6,13.1,21,IPE,EN10365,47
IPE 450,,77.6,450,190,9.4,14.6,21,IPE,EN10365,48
IPE 450 O,IPE O 450,92.4,456,192,11,17.6,21,IPE,EN10365,49
IPE 450 V,IPE V 450,107,460,194,12.4,19.6,21,IPE,EN10365,50
IPE 500 A,IPE A 500,79.4,497,200,8.4,14.5,21,IPE,EN10365,51
IPE 500,,90.7,500,200,10.2,16,21,IPE,EN10365,52
IPE 500 O,IPE O 500,107,506,202,12,19,21,IPE,EN10365,53
IPE 500 V,IPE V 500,129,514,204,14.2,23,21,IPE,EN10365,54
IPE 550 A,IPE A 550,92.1,547,210,9,15.7,24,IPE,EN10365,55
IPE 550,,106,550,210,11.1,17.2,24,IPE,EN10365,56
IPE 550 O,IPE O 550,123,556,212,12.7,20.2,24,IPE,EN10365,57
IPE 550 V,IPE V 550,159,566,216,17.1,25.2,24,IPE,EN10365,58
IPE 600 A,IPE A 600,108,597,220,9.8,17.5,24,IPE,EN10365,59
IPE 600,,122,600,220,12,19,24,IPE,EN10365,60
IPE 600 O,IPE O 600,154,610,224,15,24,24,IPE,EN10365,61
IPE 600 V,IPE V 600,184,618,228,18,28,24,IPE,EN10365,62
IPE 750X134,,134,750,264,12,15.5,17,IPE,EN10365,63
IPE 750X147,,147,753,265,13.2,17,17,IPE,EN10365,64
IPE 750X173,,173,762,267,14.4,21.6,17,IPE,EN10365,65
IPE 750X196,,196,770,268,15.6,25.4,17,IPE,EN10365,66
HE 100 AA,HE AA 100,12.2,91,100,4.2,5.5,12,HE,EN10365,0
HE 100 A,HE A 100,16.7,96,100,5,8,12,HE,EN10365,1
HE 100 B,HE B 100,20.4,100,100,6,10,12,HE,EN10365,2
HE 100 C,HE C 100,30.9,110,103,9,15,12,HE,EN10365,3
HE 100 M,HE M 100,41.8,120,106,12,20,12,HE,EN10365,4
HE 120 AA,HE AA 120,14.6,109,120,4.2,5.5,12,HE,EN10365,5
HE 120 A,HE A 120,19.9,114,120,5,8,12,HE,EN10365,6
HE 120 B,HE B 120,26.7,120,120,6.5,11,12,HE,EN10365,7
HE 120 C,HE C 120,39.2,130,123,9.5,16,12,HE,EN10365,8
HE 120 M,HE M 120,52.1,140,126,12.5,21,12,HE,EN10365,9
HE 140 AA,HE AA 140,18.1,128,140,4.3,6,12,HE,EN10365,10
HE 140 A,HE A 140,24.7,133,140,5.5,8.5,12,HE,EN10365,11
HE 140 B,HE B 140,33.7,140,140,7,12,12,HE,EN10365,12
HE 140 C,HE C 140,48.2,150,143,10,17,12,HE,EN10365,13
HE 140 M,HE M 140,63.2,160,146,13,22,12,HE,EN10365,14
HE 160 AA,HE AA 160,23.8,148,160,4.5,7,15,HE,EN10365,15
HE 160 A,HE A 160,30.4,152,160,6,9,15,HE,EN10365,16
HE 160 B,HE B 160,42.6,160,160,8,13,15,HE,EN10365,17
HE 160 C,HE C 160,59.2,170,163,11,18,15,HE,EN10365,18
HE 160 M,HE M 160,76.2,180,166,14,23,15,HE,EN10365,19
HE 180 AA,HE AA 180,28.7,167,180,5,7.5,15,HE,EN10365,20
HE 180 A,HE A 180,35.5,171,180,6,9.5,15,HE,EN10365,21
HE 180 B,HE B 180,51.2,180,180,8.5,14,15,HE,EN10365,22
HE 180 C,HE C 180,69.8,190,183,11.5,19,15,HE,EN10365,23
HE 180 M,HE M 180,88.9,200,186,14.5,24,15,HE,EN10365,24
HE 200 AA,HE AA 200,34.6,186,200,5.5,8,18,HE,EN10365,25
HE 200 A,HE A 200,42.3,190,200,6.5,10,18,HE,EN10365,26
HE 200 B,HE B 200,61.3,200,200,9,15,18,HE,EN10365,27
HE 200 C,HE C 200,81.9,210,203,12,20,18,HE,EN10365,28
HE 200 M,HE M 200,103,220,206,15,25,18,HE,EN10365,29
HE 220 AA,HE AA 220,40.4,205,220,6,8.5,18,HE,EN10365,30
HE 220 A,HE A 220,50.5,210,220,7,11,18,HE,EN10365,31
HE 220 B,HE B 220,71.5,220,220,9.5,16,18,HE,EN10365,32
HE 220 C,HE C 220,94.1,230,223,12.5,21,18,HE,EN10365,33
HE 220 M,HE M 220,117,240,226,15.5,26,18,HE,EN10365,34
HE 240 AA,HE AA 240,47.4,224,240,6.5,9,21,HE,EN10365,35
HE 240 A,HE A 240,60.3,230,240,7.5,12,21,HE,EN10365,36
HE 240 B,HE B 240,83.2,240,240,10,17,21,HE,EN10365,37
HE 240 C,HE C 240,119,255,244,14,24.5,24,HE,EN10365,38
HE 240 M,HE M 240,157,270,248,18,32,21,HE,EN10365,39
HE 260 AA,HE AA 260,54.1,244,260,6.5,9.5,24,HE,EN10365,40
HE 260 A,HE A 260,68.2,250,260,7.5,12.5,24,HE,EN10365,41
HE 260 B,HE B 260,93,260,260,10,17.5,24,HE,EN10365,42
HE 260 C,HE C 260,132,275,264,14,25,24,HE,EN10365,43
HE 260 M,HE M 260,172,290,268,18,32.5,24,HE,EN10365,44
HE 280 AA,HE AA 280,61.2,264,280,7,10,24,HE,EN10365,45
HE 280 A,HE A 280,76.4,270,280,8,13,24,HE,EN10365,46
HE 280 B,HE B 280,103,280,280,10.5,18,24,HE,EN10365,47
HE 280 C,HE C 280,145,295,284,14.5,25.5,24,HE,EN10365,48
HE 280 M,HE M 280,189,310,288,18.5,33,24,HE,EN10365,49
HE 300 AA,HE AA 300,69.8,283,300,7.5,10.5,27,HE,EN10365,50
HE 300 A,HE A 300,88.3,290,300,8.5,14,27,HE,EN10365,51
HE 300 B,HE B 300,117,300,300,11,19,27,HE,EN10365,52
HE 300 C,HE C 300,177,320,305,16,29,30,HE,EN10365,53
HE 300 M,HE M 300,238,340,310,21,39,27,HE,EN10365,54
HE 320 AA,HE AA 320,74.2,301,300,8,11,27,HE,EN10365,55
