name,alt,thk,kgm,h,b,profileCode,code,localIndex
L20X20X3,L20X3,3,0.881370525,20,20,EA,EN 10056,0
L25X25X3,L25X3,3,1.119578775,25,25,EA,EN 10056,1
L25X25X4,L25X4,4,1.4610106,25,25,EA,EN 10056,2
L25X25X5,L25X5,5,1.786561875,25,25,EA,EN 10056,3
L30X30X3,L30X3,3,1.357787025,30,30,EA,EN 10056,4
L30X30X4,L30X4,4,1.7786216,30,30,EA,EN 10056,5
L30X30X5,L30X5,5,2.183575625,30,30,EA,EN 10056,6
L30X30X6,L30X6,6,2.5726491,30,30,EA,EN 10056,7
L40X40X3,L40X3,3,1.834203525,40,40,EA,EN 10056,8
L40X40X4,L40X4,4,2.4138436,40,40,EA,EN 10056,9
L40X40X5,L40X5,5,2.977603125,40,40,EA,EN 10056,10
L40X40X6,L40X6,6,3.5254821,40,40,EA,EN 10056,11
L45X45X2.5,L45X2.5,2.5,1.736935156,45,45,EA,EN 10056,12
L45X45X3.5,L45X3.5,3.5,2.403918256,45,45,EA,EN 10056,13
L45X45X4.5,L45X4.5,4.5,3.055020806,45,45,EA,EN 10056,14
L45X45X6,L45X6,6,4.0018986,45,45,EA,EN 10056,15
L45X45X7,L45X7,7,4.613299775,45,45,EA,EN 10056,16
L50X50X3,L50X3,3,2.310620025,50,50,EA,EN 10056,17
L50X50X4,L50X4,4,3.0490656,50,50,EA,EN 10056,18
L50X50X5,L50X5,5,3.771630625,50,50,EA,EN 10056,19
L50X50X6,L50X6,6,4.4783151,50,50,EA,EN 10056,20
L50X50X7,L50X7,7,5.169119025,50,50,EA,EN 10056,21
L50X50X8,L50X8,8,5.8440424,50,50,EA,EN 10056,22
L60X60X4,L60X4,4,3.6842876,60,60,EA,EN 10056,23
L60X60X5,L60X5,5,4.565658125,60,60,EA,EN 10056,24
L60X60X6,L60X6,6,5.4311481,60,60,EA,EN 10056,25
L60X60X7,L60X7,7,6.280757525,60,60,EA,EN 10056,26
L60X60X8,L60X8,8,7.1144864,60,60,EA,EN 10056,27
L60X60X10,L60X10,10,8.7343025,60,60,EA,EN 10056,28
L70X70X5,L70X5,5,5.359685625,70,70,EA,EN 10056,29
L70X70X6,L70X6,6,6.3839811,70,70,EA,EN 10056,30
L70X70X7,L70X7,7,7.392396025,70,70,EA,EN 10056,31
L70X70X8,L70X8,8,8.3849304,70,70,EA,EN 10056,32
L70X70X10,L70X10,10,10.3223575,70,70,EA,EN 10056,33
L75X75X5,L75X5,5,5.756699375,75,75,EA,EN 10056,34
L75X75X6,L75X6,6,6.8603976,75,75,EA,EN 10056,35
L75X75X8,L75X8,8,9.0201524,75,75,EA,EN 10056,36
L75X75X10,L75X10,10,11.116385,75,75,EA,EN 10056,37
L80X80X5,L80X5,5,6.153713125,80,80,EA,EN 10056,38
L80X80X6,L80X6,6,7.3368141,80,80,EA,EN 10056,39
L80X80X8,L80X8,8,9.6553744,80,80,EA,EN 10056,40
L80X80X10,L80X10,10,11.9104125,80,80,EA,EN 10056,41
L90X90X6,L90X6,6,8.2896471,90,90,EA,EN 10056,42
L90X90X8,L90X8,8,10.9258184,90,90,EA,EN 10056,43
L90X90X10,L90X10,10,13.4984675,90,90,EA,EN 10056,44
L90X90X12,L90X12,12,16.0075944,90,90,EA,EN 10056,45
L100X100X6,L100X6,6,9.2424801,100,100,EA,EN 10056,46
L100X100X8,L100X8,8,12.1962624,100,100,EA,EN 10056,47
L100X100X10,L100X10,10,15.0865225,100,100,EA,EN 10056,48
L100X100X12,L100X12,12,17.9132604,100,100,EA,EN 10056,49
L100X100X15,L100X15,15,22.03426313,100,100,EA,EN 10056,50
L100X100X16,L100X16,16,23.3761696,100,100,EA,EN 10056,51
L120X120X7,L120X7,7,12.95058853,120,120,EA,EN 10056,52
L120X120X8,L120X8,8,14.7371504,120,120,EA,EN 10056,53
L120X120X10,L120X10,10,18.2626325,120,120,EA,EN 10056,54
L120X120X12,L120X12,12,21.7245924,120,120,EA,EN 10056,55
L120X120X15,L120X15,15,26.79842813,120,120,EA,EN 10056,56
L150X150X10,L150X10,10,23.0267975,150,150,EA,EN 10056,57
L150X150X12,L150X12,12,27.4415904,150,150,EA,EN 10056,58
L150X150X15,L150X15,15,33.94467563,150,150,EA,EN 10056,59
L150X150X18,L150X18,18,40.3048359,150,150,EA,EN 10056,60
L150X150X20,L150X20,20,44.46554,150,150,EA,EN 10056,61
L180X180X16,L180X16,16,43.7032736,180,180,EA,EN 10056,62
L200X200X12,L200X12,12,36.9699204,200,200,EA,EN 10056,63
L200X200X15,L200X15,15,45.85508813,200,200,EA,EN 10056,64
L200X200X16,L200X16,16,48.7850496,200,200,EA,EN 10056,65
L200X200X18,L200X18,18,54.5973309,200,200,EA,EN 10056,66
L200X200X20,L200X20,20,60.34609,200,200,EA,EN 10056,67
L200X200X24,L200X24,24,71.6530416,200,200,EA,EN 10056,68
L200X200X25,L200X25,25,74.44007813,200,200,EA,EN 10056,69
L250X250X25,L250X25,25,94.29076563,250,250,EA,EN 10056,70
L250X250X28,L250X28,28,104.9386744,250,250,EA,EN 10056,71
L250X250X35,L250X35,35,129.2279756,250,250,EA,EN 10056,72
L12.7X12.7X3.18,L12.7X3.18,3.18,0.561056655,12.7,12.7,EA,ASTM,73
L19.1X19.1X3.18,L19.1X3.18,3.18,0.884257609,19.1,19.1,EA,ASTM,74
L25.4X25.4X3.18,L25.4X3.18,3.18,1.202408548,25.4,25.4,EA,ASTM,75
L25.4X25.4X4.76,L25.4X4.76,4.76,1.740114442,25.4,25.4,EA,ASTM,76
L25.4X25.4X6.35,L25.4X6.35,6.35,2.241202171,25.4,25.4,EA,ASTM,77
L31.8X31.8X3.18,L31.8X3.18,3.18,1.525609501,31.8,31.8,EA,ASTM,78
L31.8X31.8X4.76,L31.8X4.76,4.76,2.223899518,31.8,31.8,EA,ASTM,79
L31.8X31.8X6.35,L31.8X6.35,6.35,2.886587723,31.8,31.8,EA,ASTM,80
