thk,kgm,h,b,profileCode,code
1.6,1.584047104,50,20,RHS,AS.NZS-1163
2,1.9563456,50,20,RHS,AS.NZS-1163
2.5,2.40838,50,20,RHS,AS.NZS-1163
3,2.8455936,50,20,RHS,AS.NZS-1163
1.6,1.702613504,50,25,RHS,AS.NZS-1163
2,2.1045536,50,25,RHS,AS.NZS-1163
2.5,2.59364,50,25,RHS,AS.NZS-1163
3,3.0679056,50,25,RHS,AS.NZS-1163
1.6,2.295445504,75,25,RHS,AS.NZS-1163
2,2.8455936,75,25,RHS,AS.NZS-1163
2.5,3.51994,75,25,RHS,AS.NZS-1163
2,2.8455936,65,35,RHS,AS.NZS-1163
2.5,3.51994,65,35,RHS,AS.NZS-1163
3,4.1794656,65,35,RHS,AS.NZS-1163
2,3.5866336,75,50,RHS,AS.NZS-1163
2.5,4.44624,75,50,RHS,AS.NZS-1163
3,5.2910256,75,50,RHS,AS.NZS-1163
4,6.9361344,75,50,RHS,AS.NZS-1163
2,4.3276736,100,50,RHS,AS.NZS-1163
2.5,5.37254,100,50,RHS,AS.NZS-1163
3,6.4025856,100,50,RHS,AS.NZS-1163
3.5,7.4178104,100,50,RHS,AS.NZS-1163
4,8.4182144,100,50,RHS,AS.NZS-1163
5,10.37456,100,50,RHS,AS.NZS-1163
6,12.2716224,100,50,RHS,AS.NZS-1163
3,8.6257056,150,50,RHS,AS.NZS-1163
4,11.3823744,150,50,RHS,AS.NZS-1163
5,14.07976,150,50,RHS,AS.NZS-1163
3,8.6257056,125,75,RHS,AS.NZS-1163
4,11.3823744,125,75,RHS,AS.NZS-1163
5,14.07976,125,75,RHS,AS.NZS-1163
4,14.3465344,150,100,RHS,AS.NZS-1163
5,17.78496,150,100,RHS,AS.NZS-1163
6,21.1641024,150,100,RHS,AS.NZS-1163
4,17.3106944,200,100,RHS,AS.NZS-1163
5,21.49016,200,100,RHS,AS.NZS-1163
6,25.6103424,200,100,RHS,AS.NZS-1163
9,37.6151904,200,100,RHS,AS.NZS-1163
5,28.90056,250,150,RHS,AS.NZS-1163
6,34.5028224,250,150,RHS,AS.NZS-1163
9,50.9539104,250,150,RHS,AS.NZS-1163
1.65,1.472150064,38.1,25.4,RHS,ASTM
2.11,1.853797521,38.1,25.4,RHS,ASTM
3.05,2.594677456,38.1,25.4,RHS,ASTM
1.65,1.782719928,50.8,25.4,RHS,ASTM
2.11,2.250950498,50.8,25.4,RHS,ASTM
3.05,3.168761144,50.8,25.4,RHS,ASTM
2.11,3.045256453,63.5,38.1,RHS,ASTM
3.05,4.31692852,63.5,38.1,RHS,ASTM
4.57,6.262413438,63.5,38.1,RHS,ASTM
6.35,8.366563912,63.5,38.1,RHS,ASTM
2.11,3.045256453,76.2,25.4,RHS,ASTM
3.05,4.31692852,76.2,25.4,RHS,ASTM
4.57,6.262413438,76.2,25.4,RHS,ASTM
2.11,3.442409431,76.2,38.1,RHS,ASTM
3.05,4.891012208,76.2,38.1,RHS,ASTM
4.57,7.122597849,76.2,38.1,RHS,ASTM
2.11,3.839562409,76.2,50.8,RHS,ASTM
3.05,5.465095896,76.2,50.8,RHS,ASTM
4.57,7.98278226,76.2,50.8,RHS,ASTM
6.35,10.75701074,76.2,50.8,RHS,ASTM
3.05,6.613263272,88.9,63.5,RHS,ASTM
4.57,9.703151083,88.9,63.5,RHS,ASTM
6.35,13.14745758,88.9,63.5,RHS,ASTM
3.05,6.039179584,101.6,38.1,RHS,ASTM
2.11,4.633868364,101.6,50.8,RHS,ASTM
3.05,6.613263272,101.6,50.8,RHS,ASTM
4.57,9.703151083,101.6,50.8,RHS,ASTM
6.35,13.14745758,101.6,50.8,RHS,ASTM
7.95,16.08316164,101.6,50.8,RHS,ASTM
9.53,18.83323815,101.6,50.8,RHS,ASTM
3.05,7.761430648,101.6,76.2,RHS,ASTM
4.57,11.4235199,101.6,76.2,RHS,ASTM
6.35,15.53790441,101.6,76.2,RHS,ASTM
7.95,19.07592578,101.6,76.2,RHS,ASTM
9.53,22.42079064,101.6,76.2,RHS,ASTM
3.05,7.761430648,127,50.8,RHS,ASTM
4.57,11.4235199,127,50.8,RHS,ASTM
6.35,15.53790441,127,50.8,RHS,ASTM
7.95,19.07592578,127,50.8,RHS,ASTM
9.53,22.42079064,127,50.8,RHS,ASTM
6.35,16.73312782,127,63.5,RHS,ASTM
3.05,8.909598024,127,76.2,RHS,ASTM
4.57,13.14388873,127,76.2,RHS,ASTM
6.35,17.92835124,127,76.2,RHS,ASTM
7.95,22.06868993,127,76.2,RHS,ASTM
9.53,26.00834313,127,76.2,RHS,ASTM
12.7,33.46625565,127,76.2,RHS,ASTM
3.05,10.0577654,127,101.6,RHS,ASTM
4.57,14.86425755,127,101.6,RHS,ASTM
6.35,20.31879807,127,101.6,RHS,ASTM
7.95,25.06145407,127,101.6,RHS,ASTM
9.53,29.59589562,127,101.6,RHS,ASTM
