thk,kgm,h,b,profileCode,code
1.6,0.872648704,20,20,SHS,AS.NZS-1163
1.6,1.109781504,25,25,SHS,AS.NZS-1163
2,1.3635136,25,25,SHS,AS.NZS-1163
2.5,1.66734,25,25,SHS,AS.NZS-1163
3,1.9563456,25,25,SHS,AS.NZS-1163
1.6,1.346914304,30,30,SHS,AS.NZS-1163
2,1.6599296,30,30,SHS,AS.NZS-1163
1.6,1.584047104,35,35,SHS,AS.NZS-1163
2,1.9563456,35,35,SHS,AS.NZS-1163
2.5,2.40838,35,35,SHS,AS.NZS-1163
3,2.8455936,35,35,SHS,AS.NZS-1163
1.6,1.821179904,40,40,SHS,AS.NZS-1163
2,2.2527616,40,40,SHS,AS.NZS-1163
2.5,2.7789,40,40,SHS,AS.NZS-1163
4,4.2683904,40,40,SHS,AS.NZS-1163
1.6,2.295445504,50,50,SHS,AS.NZS-1163
2,2.8455936,50,50,SHS,AS.NZS-1163
2.5,3.51994,50,50,SHS,AS.NZS-1163
3,4.1794656,50,50,SHS,AS.NZS-1163
4,5.4540544,50,50,SHS,AS.NZS-1163
2,3.7348416,65,65,SHS,AS.NZS-1163
2.5,4.6315,65,65,SHS,AS.NZS-1163
3,5.5133376,65,65,SHS,AS.NZS-1163
2.5,5.37254,75,75,SHS,AS.NZS-1163
3,6.4025856,75,75,SHS,AS.NZS-1163
3.5,7.4178104,75,75,SHS,AS.NZS-1163
4,8.4182144,75,75,SHS,AS.NZS-1163
5,10.37456,75,75,SHS,AS.NZS-1163
6,12.2716224,75,75,SHS,AS.NZS-1163
3.5,8.8702488,89,89,SHS,AS.NZS-1163
5,12.449472,89,89,SHS,AS.NZS-1163
6,14.7615168,89,89,SHS,AS.NZS-1163
3,8.6257056,100,100,SHS,AS.NZS-1163
4,11.3823744,100,100,SHS,AS.NZS-1163
5,14.07976,100,100,SHS,AS.NZS-1163
6,16.7178624,100,100,SHS,AS.NZS-1163
9,24.2764704,100,100,SHS,AS.NZS-1163
4,14.3465344,125,125,SHS,AS.NZS-1163
5,17.78496,125,125,SHS,AS.NZS-1163
6,21.1641024,125,125,SHS,AS.NZS-1163
9,30.9458304,125,125,SHS,AS.NZS-1163
5,21.49016,150,150,SHS,AS.NZS-1163
6,25.6103424,150,150,SHS,AS.NZS-1163
9,37.6151904,150,150,SHS,AS.NZS-1163
5,28.90056,200,200,SHS,AS.NZS-1163
6,34.5028224,200,200,SHS,AS.NZS-1163
9,50.9539104,200,200,SHS,AS.NZS-1163
6,43.3953024,250,250,SHS,AS.NZS-1163
9,64.2926304,250,250,SHS,AS.NZS-1163
1.65,0.540440472,12.7,12.7,SHS,ASTM
1.65,0.853455768,19.1,19.1,SHS,ASTM
1.65,1.1615802,25.4,25.4,SHS,ASTM
2.11,1.456644543,25.4,25.4,SHS,ASTM
3.05,2.020593768,25.4,25.4,SHS,ASTM
1.65,1.474595496,31.8,31.8,SHS,ASTM
2.11,1.856924709,31.8,31.8,SHS,ASTM
3.05,2.5991978,31.8,31.8,SHS,ASTM
1.65,1.782719928,38.1,38.1,SHS,ASTM
2.11,2.250950498,38.1,38.1,SHS,ASTM
3.05,3.168761144,38.1,38.1,SHS,ASTM
4.57,4.542044615,38.1,38.1,SHS,ASTM
6.35,5.97611708,38.1,38.1,SHS,ASTM
1.65,2.095735224,44.5,44.5,SHS,ASTM
2.11,2.651230665,44.5,44.5,SHS,ASTM
3.05,3.747365176,44.5,44.5,SHS,ASTM
1.65,2.403859656,50.8,50.8,SHS,ASTM
2.11,3.045256453,50.8,50.8,SHS,ASTM
3.05,4.31692852,50.8,50.8,SHS,ASTM
4.57,6.262413438,50.8,50.8,SHS,ASTM
6.35,8.366563912,50.8,50.8,SHS,ASTM
2.11,3.839562409,63.5,63.5,SHS,ASTM
3.05,5.465095896,63.5,63.5,SHS,ASTM
4.57,7.98278226,63.5,63.5,SHS,ASTM
6.35,10.75701074,63.5,63.5,SHS,ASTM
2.11,4.633868364,76.2,76.2,SHS,ASTM
3.05,6.613263272,76.2,76.2,SHS,ASTM
4.57,9.703151083,76.2,76.2,SHS,ASTM
6.35,13.14745758,76.2,76.2,SHS,ASTM
7.95,16.08316164,76.2,76.2,SHS,ASTM
9.53,18.83323815,76.2,76.2,SHS,ASTM
3.05,7.761430648,88.9,88.9,SHS,ASTM
4.57,11.4235199,88.9,88.9,SHS,ASTM
6.35,15.53790441,88.9,88.9,SHS,ASTM
7.95,19.07592578,88.9,88.9,SHS,ASTM
9.53,22.42079064,88.9,88.9,SHS,ASTM
3.05,8.909598024,101.6,101.6,SHS,ASTM
4.57,13.14388873,101.6,101.6,SHS,ASTM
6.35,17.92835124,101.6,101.6,SHS,ASTM
7.95,22.06868993,101.6,101.6,SHS,ASTM
9.53,26.00834313,101.6,101.6,SHS,ASTM
12.7,33.46625565,101.6,101.6,SHS,ASTM
3.05,11.20593278,127,127,SHS,ASTM
4.57,16.58462637,127,127,SHS,ASTM
6.35,22.7092449,127,127,SHS,ASTM
7.95,28.05421822,127,127,SHS,ASTM
9.53,33.18344811,127,127,SHS,ASTM
12.7,43.02804298,127,127,SHS,ASTM
4.57,20.02536402,152.4,152.4,SHS,ASTM
6.35,27.49013857,152.4,152.4,SHS,ASTM
7.95,34.0397465,152.4,152.4,SHS,ASTM
9.53,40.35855309,152.4,152.4,SHS,ASTM
12.7,52.5898303,152.4,152.4,SHS,ASTM
4.57,23.46610166,177.8,177.8,SHS,ASTM
6.35,32.27103223,177.8,177.8,SHS,ASTM
7.95,40.02527479,177.8,177.8,SHS,ASTM
9.53,47.53365806,177.8,177.8,SHS,ASTM
12.7,62.15161763,177.8,177.8,SHS,ASTM
4.57,26.90683931,203.2,203.2,SHS,ASTM
6.35,37.0519259,203.2,203.2,SHS,ASTM
7.95,46.01080308,203.2,203.2,SHS,ASTM
9.53,54.70876304,203.2,203.2,SHS,ASTM
12.7,71.71340496,203.2,203.2,SHS,ASTM
15.88,88.17313645,203.2,203.2,SHS,ASTM
6.35,46.61371322,254,254,SHS,ASTM
7.95,57.98185966,254,254,SHS,ASTM
9.53,69.058973,254,254,SHS,ASTM
12.7,90.83697962,254,254,SHS,ASTM
15.88,112.0851337,254,254,SHS,ASTM
6.35,56.17550055,304.8,304.8,SHS,ASTM
7.95,69.95291623,304.8,304.8,SHS,ASTM
9.53,83.40918296,304.8,304.8,SHS,ASTM
12.7,109.9605543,304.8,304.8,SHS,ASTM
15.88,135.997131,304.8,304.8,SHS,ASTM
7.95,81.92397281,355.6,355.6,SHS,ASTM
9.53,97.75939292,355.6,355.6,SHS,ASTM
12.7,129.0841289,355.6,355.6,SHS,ASTM
15.88,159.9091283,355.6,355.6,SHS,ASTM
9.53,112.1096029,406.4,406.4,SHS,ASTM
12.7,148.2077036,406.4,406.4,SHS,ASTM
15.88,183.8211256,406.4,406.4,SHS,ASTM
19.05,218.7258851,406.4,406.4,SHS,ASTM
1.2,0.668714496,20,20,SHS,EN 10219-2 CR
1.5,0.8225544,20,20,SHS,EN 10219-2 CR
1.8,0.971058816,20,20,SHS,EN 10219-2 CR
2,1.0670976,20,20,SHS,EN 10219-2 CR
2,1.0670976,20,20,SHS,EN 10219-2 CR
2.5,1.29682,20,20,SHS,EN 10219-2 CR
1.2,0.846564096,25,25,SHS,EN 10219-2 CR
1.5,1.0448664,25,25,SHS,EN 10219-2 CR
1.8,1.237833216,25,25,SHS,EN 10219-2 CR
2,1.3635136,25,25,SHS,EN 10219-2 CR
2,1.3635136,25,25,SHS,EN 10219-2 CR
2.5,1.66734,25,25,SHS,EN 10219-2 CR
2.5,1.66734,25,25,SHS,EN 10219-2 CR
3,1.9563456,25,25,SHS,EN 10219-2 CR
3,1.9563456,25,25,SHS,EN 10219-2 CR
1.2,1.024413696,30,30,SHS,EN 10219-2 CR
1.5,1.2671784,30,30,SHS,EN 10219-2 CR
