thk,kgm,b,profileCode,code
3.175,0.316531625,12.7,Flat,ASTM
4.749,0.473451555,12.7,Flat,ASTM
6.35,0.63306325,12.7,Flat,ASTM
7.924,0.78998318,12.7,Flat,ASTM
3.175,0.474797438,19.05,Flat,ASTM
4.749,0.710177333,19.05,Flat,ASTM
6.35,0.949594875,19.05,Flat,ASTM
7.924,1.18497477,19.05,Flat,ASTM
9.525,1.424392313,19.05,Flat,ASTM
12.7,1.89918975,19.05,Flat,ASTM
3.175,0.63306325,25.4,Flat,ASTM
4.749,0.94690311,25.4,Flat,ASTM
6.35,1.2661265,25.4,Flat,ASTM
7.924,1.57996636,25.4,Flat,ASTM
9.525,1.89918975,25.4,Flat,ASTM
12.7,2.532253,25.4,Flat,ASTM
15.875,3.16531625,25.4,Flat,ASTM
19.05,3.7983795,25.4,Flat,ASTM
22.225,4.43144275,25.4,Flat,ASTM
3.175,0.791329063,31.75,Flat,ASTM
4.749,1.183628888,31.75,Flat,ASTM
6.35,1.582658125,31.75,Flat,ASTM
7.924,1.97495795,31.75,Flat,ASTM
9.525,2.373987188,31.75,Flat,ASTM
12.7,3.16531625,31.75,Flat,ASTM
22.225,5.539303438,31.75,Flat,ASTM
25.4,6.3306325,31.75,Flat,ASTM
31.75,7.913290625,31.75,Flat,ASTM
3.175,0.949594875,38.1,Flat,ASTM
4.749,1.420354665,38.1,Flat,ASTM
6.35,1.89918975,38.1,Flat,ASTM
7.924,2.36994954,38.1,Flat,ASTM
9.525,2.848784625,38.1,Flat,ASTM
12.7,3.7983795,38.1,Flat,ASTM
15.875,4.747974375,38.1,Flat,ASTM
19.05,5.69756925,38.1,Flat,ASTM
22.225,6.647164125,38.1,Flat,ASTM
25.4,7.596759,38.1,Flat,ASTM
3.175,1.107860688,44.45,Flat,ASTM
4.749,1.657080443,44.45,Flat,ASTM
6.35,2.215721375,44.45,Flat,ASTM
7.924,2.76494113,44.45,Flat,ASTM
9.525,3.323582063,44.45,Flat,ASTM
12.7,4.43144275,44.45,Flat,ASTM
31.75,11.07860688,44.45,Flat,ASTM
3.175,1.2661265,50.8,Flat,ASTM
4.749,1.89380622,50.8,Flat,ASTM
6.35,2.532253,50.8,Flat,ASTM
7.924,3.15993272,50.8,Flat,ASTM
9.525,3.7983795,50.8,Flat,ASTM
12.7,5.064506,50.8,Flat,ASTM
15.875,6.3306325,50.8,Flat,ASTM
19.05,7.596759,50.8,Flat,ASTM
22.225,8.8628855,50.8,Flat,ASTM
25.4,10.129012,50.8,Flat,ASTM
31.75,12.661265,50.8,Flat,ASTM
38.1,15.193518,50.8,Flat,ASTM
44.45,17.725771,50.8,Flat,ASTM
50.8,20.258024,50.8,Flat,ASTM
3.175,1.424392313,57.15,Flat,ASTM
4.749,2.130531998,57.15,Flat,ASTM
6.35,2.848784625,57.15,Flat,ASTM
7.924,3.55492431,57.15,Flat,ASTM
9.525,4.273176938,57.15,Flat,ASTM
12.7,5.69756925,57.15,Flat,ASTM
31.75,14.24392313,57.15,Flat,ASTM
3.175,1.582658125,63.5,Flat,ASTM
4.749,2.367257775,63.5,Flat,ASTM
6.35,3.16531625,63.5,Flat,ASTM
7.924,3.9499159,63.5,Flat,ASTM
9.525,4.747974375,63.5,Flat,ASTM
12.7,6.3306325,63.5,Flat,ASTM
15.875,7.913290625,63.5,Flat,ASTM
19.05,9.49594875,63.5,Flat,ASTM
22.225,11.07860688,63.5,Flat,ASTM
25.4,12.661265,63.5,Flat,ASTM
31.75,15.82658125,63.5,Flat,ASTM
38.1,18.9918975,63.5,Flat,ASTM
44.45,22.15721375,63.5,Flat,ASTM
3.175,1.740923938,69.85,Flat,ASTM
4.749,2.603983553,69.85,Flat,ASTM
6.35,3.481847875,69.85,Flat,ASTM
