od,kgm,profileCode,code
6,0.221953521,Round,EN 10060
8,0.394584037,Round,EN 10060
10,0.616537558,Round,EN 10060
12,0.887814084,Round,EN 10060
16,1.578336149,Round,EN 10060
19,2.225700585,Round,EN 10060
20,2.466150233,Round,EN 10060
22,2.984041782,Round,EN 10060
25,3.853359739,Round,EN 10060
30,5.548838024,Round,EN 10060
32,6.313344597,Round,EN 10060
35,7.552585089,Round,EN 10060
38,8.902802341,Round,EN 10060
40,9.864600932,Round,EN 10060
42,10.87572253,Round,EN 10060
45,12.48488555,Round,EN 10060
50,15.41343896,Round,EN 10060
55,18.65026114,Round,EN 10060
60,22.1953521,Round,EN 10060
65,26.04871184,Round,EN 10060
70,30.21034036,Round,EN 10060
75,34.68023765,Round,EN 10060
80,39.45840373,Round,EN 10060
85,44.54483858,Round,EN 10060
90,49.93954222,Round,EN 10060
95,55.64251463,Round,EN 10060
100,61.65375583,Round,EN 10060
105,67.9732658,Round,EN 10060
110,74.60104455,Round,EN 10060
115,81.53709208,Round,EN 10060
120,88.78140839,Round,EN 10060
125,96.33399348,Round,EN 10060
130,104.1948473,Round,EN 10060
135,112.36397,Round,EN 10060
140,120.8413614,Round,EN 10060
145,129.6270216,Round,EN 10060
150,138.7209506,Round,EN 10060
155,148.1231484,Round,EN 10060
160,157.8336149,Round,EN 10060
165,167.8523502,Round,EN 10060
170,178.1793543,Round,EN 10060
180,199.7581689,Round,EN 10060
185,211.0099793,Round,EN 10060
190,222.5700585,Round,EN 10060
200,246.6150233,Round,EN 10060
210,271.8930632,Round,EN 10060
220,298.4041782,Round,EN 10060
230,326.1483683,Round,EN 10060
240,355.1256336,Round,EN 10060
250,385.3359739,Round,EN 10060
260,416.7793894,Round,EN 10060
270,449.45588,Round,EN 10060
280,483.3654457,Round,EN 10060
300,554.8838024,Round,EN 10060
305,573.5340636,Round,EN 10060
